iter	Passed	Remaining
0	69	69247
1	69	34908
2	70	23433
3	71	17703
4	71	14267
5	72	11968
6	72	10329
7	73	9104
8	74	8151
9	74	7404
10	75	6783
11	76	6266
12	76	5821
13	77	5443
14	78	5125
15	78	4841
16	79	4584
17	79	4362
18	80	4161
19	81	3977
20	81	3808
21	82	3660
22	83	3537
23	84	3416
24	84	3307
25	85	3207
26	86	3113
27	87	3023
28	87	2940
29	88	2871
30	89	2794
31	90	2723
32	90	2660
33	91	2599
34	92	2541
35	92	2487
36	93	2432
37	94	2380
38	94	2332
39	95	2285
40	95	2240
41	96	2198
42	96	2156
43	97	2117
44	97	2079
45	99	2054
46	99	2020
47	100	1991
48	101	1963
49	101	1934
50	102	1906
51	102	1877
52	103	1848
53	104	1822
54	104	1797
55	105	1774
56	105	1749
57	106	1728
58	107	1707
59	107	1685
60	108	1664
61	108	1645
62	109	1627
63	110	1609
64	110	1591
65	111	1574
66	111	1557
67	112	1538
68	112	1521
69	113	1505
70	113	1489
71	114	1475
72	115	1461
73	115	1447
74	116	1434
75	116	1419
76	117	1406
77	117	1394
78	118	1382
79	119	1370
80	119	1358
81	120	1347
82	120	1335
83	121	1323
84	121	1310
85	122	1302
86	123	1291
87	123	1281
88	124	1272
89	124	1262
90	125	1253
91	126	1245
92	126	1235
93	127	1226
94	127	1217
95	128	1207
96	128	1199
97	129	1189
98	129	1181
99	130	1173
100	131	1167
101	131	1157
102	132	1150
103	132	1142
104	133	1136
105	133	1129
106	134	1122
107	135	1115
108	135	1107
109	136	1101
110	136	1094
111	137	1089
112	138	1084
113	138	1077
114	139	1072
115	139	1065
116	140	1059
117	140	1053
118	141	1046
119	142	1041
120	142	1035
121	143	1029
122	143	1022
123	143	1016
124	144	1010
125	144	1005
126	145	1000
127	145	993
128	146	988
129	146	983
130	147	979
131	148	975
132	148	970
133	149	965
134	150	961
135	150	957
136	151	952
137	151	947
138	152	943
139	152	939
140	153	935
141	154	930
142	154	927
143	155	923
144	155	919
145	156	915
146	157	911
147	157	906
148	158	902
149	158	900
150	159	898
151	160	894
152	161	891
153	161	888
154	162	884
155	162	880
156	163	877
157	164	874
158	164	871
159	165	868
160	166	865
161	166	863
162	167	859
163	167	856
164	168	853
165	169	850
166	170	848
167	170	845
168	171	842
169	172	839
170	172	836
171	173	833
172	173	830
173	174	826
174	174	824
175	175	821
176	176	818
177	176	815
178	177	812
179	177	810
180	178	806
181	178	803
182	179	800
183	179	797
184	180	794
185	180	791
186	181	789
187	182	786
188	182	784
189	183	782
190	183	779
191	184	776
192	185	773
193	185	771
194	186	769
195	186	766
196	187	765
197	188	762
198	189	760
199	189	758
200	190	755
201	190	752
202	191	750
203	191	747
204	192	745
205	192	742
206	193	740
207	193	737
208	194	735
209	195	733
210	195	731
211	196	728
212	196	726
213	196	723
214	197	721
215	198	719
216	198	717
217	199	716
218	200	714
219	201	712
220	201	710
221	202	708
222	202	706
223	203	704
224	203	702
225	204	700
226	205	698
227	205	696
228	206	694
229	206	692
230	207	690
231	207	687
232	208	686
233	209	684
234	209	682
235	210	681
236	210	679
237	211	677
238	212	675
239	212	674
240	213	672
241	214	670
242	214	669
243	215	667
244	215	665
245	216	663
246	216	660
247	217	658
248	217	656
249	218	654
250	218	652
251	219	651
252	219	649
253	220	647
254	221	645
255	221	644
256	222	642
257	222	640
258	223	639
259	224	637
260	224	636
261	225	634
262	226	633
263	226	632
264	227	630
265	227	628
266	228	626
267	228	624
268	229	622
269	229	620
270	230	619
271	230	617
272	231	616
273	231	614
274	232	612
275	232	610
276	233	608
277	233	607
278	234	605
279	235	604
280	235	602
281	236	601
282	236	600
283	237	598
284	237	596
285	238	595
286	238	593
287	239	592
288	239	590
289	240	588
290	241	587
291	241	585
292	242	584
293	242	583
294	243	581
295	243	580
296	244	578
